Date,Date,Open,High,Low,Close,Volume,RSI,SMA,EMA,MACD,MACD Signal,LB,UB
2020-06-11,2020-06-11,9870.078125,9938.2978515625,9263.0693359375,9321.78125,30247143440,47.829185474008625,9488.771940104167,9396.611656231364,171.64854614260366,213.4755454945894,10214.582885692304,8789.473657276445
2020-06-12,2020-06-12,9320.6904296875,9540.4658203125,9285.8515625,9480.84375,22610564515,50.59673904716428,9495.80048828125,9402.045984861597,146.84350087825806,200.14913657132314,10215.568193438829,8815.644013592422
2020-06-13,2020-06-13,9480.7353515625,9493.2119140625,9396.009765625,9475.27734375,17564322315,50.49578695066549,9487.185677083333,9406.77058866085,125.29187459276545,185.1776841756116,10166.606934988926,8933.096190011074
2020-06-14,2020-06-14,9477.5537109375,9482.2705078125,9347.59375,9386.7880859375,18991732746,48.827920099814975,9489.138704427083,9405.481394936762,99.919897539683,168.12612684842588,10122.236509596612,9025.451966965888
2020-06-15,2020-06-15,9386.03515625,9504.8603515625,8990.17578125,9450.7021484375,26699704768,50.109698401466886,9491.594986979168,9408.39886290455,84.00143734094672,151.30118894693004,10041.449394793472,9167.804023175278
2020-06-16,2020-06-16,9454.2666015625,9579.4306640625,9400.4453125,9538.0244140625,21565537209,51.883035593239526,9487.171158854168,9416.761801688934,77.5383066671111,136.54861249096626,10015.589953160066,9229.364148402434
2020-06-17,2020-06-17,9533.7841796875,9540.4228515625,9327.33984375,9480.2548828125,20177709879,50.60159657145048,9478.960481770833,9420.858129503358,66.98257721704613,122.63540543618224,10016.044761997282,9224.359730190217
2020-06-18,2020-06-18,9481.5673828125,9482.7822265625,9328.3955078125,9411.8408203125,17770083003,49.056345758517175,9468.387239583333,9420.276367620078,52.491552551415225,108.60663485922883,10017.346411912966,9220.329759962033
2020-06-19,2020-06-19,9410.2939453125,9440.8759765625,9274.2958984375,9288.0185546875,19632223107,46.30047853219823,9460.555143229167,9411.743605495396,30.662431666076372,93.01779422059835,10019.722248587703,9176.714372506049
2020-06-20,2020-06-20,9290.9599609375,9394.9716796875,9247.3798828125,9332.3408203125,17130541557,47.43872645060258,9468.907779947916,9406.620845161016,16.746093966268745,77.76345416973243,10025.228494082767,9158.336349667232
2020-06-21,2020-06-21,9330.9267578125,9401.107421875,9300.4306640625,9303.6298828125,15324301169,46.74747710725079,9472.94287109375,9399.976266944983,3.361810509539282,62.8831254376938,9910.244372922489,9186.956603640012
2020-06-22,2020-06-22,9300.9150390625,9655.0732421875,9296.8720703125,9648.7177734375,21104009514,55.19771448904912,9487.590559895832,9416.024106073532,20.365616050452445,54.37962356024553,9918.660080382571,9190.43230242993
2020-06-23,2020-06-23,9644.076171875,9670.541015625,9547.2470703125,9629.658203125,17006433272,54.68160947377729,9515.56689453125,9429.806951044595,31.935177562701938,49.89073436073681,9915.97711326115,9190.4093125201
2020-06-24,2020-06-24,9632.1494140625,9680.3671875,9278.2333984375,9313.6103515625,18961716076,46.85772231293349,9529.12275390625,9422.310396239298,15.423920758907116,42.99737164037087,9887.27535183505,9170.40843722745
2020-06-25,2020-06-25,9314.126953125,9340.1611328125,9095.32421875,9264.8134765625,18616048626,45.76885444264579,9543.448111979167,9412.149304647246,-1.5806484834829462,34.08176761560011,9879.041074890656,9138.570741515594
2020-06-26,2020-06-26,9260.9951171875,9310.5166015625,9101.73828125,9162.91796875,18341465837,43.49590343057891,9542.844791666666,9396.069863621617,-23.01372018283837,22.66267005591241,9877.199901577702,9091.335742953548
