Date,High,Low,Close,Volume,RSI,SMA,EMA,MACD,MACD Signal,LB,UB,newScore,f_Score
2020-07-02,9274.962890625,9036.623046875,9123.41015625,16338916796,44.02877897466289,9444.382649739584,9314.260406172689,-76.3682309464748,-44.88919260729445,9663.25495862366,8992.36008043884,"[0.9225060939788818, 0.9572031497955322, -0.9721758365631104, -0.970356285572052, 0.9629286527633667, -0.9643073678016663, 0.9703826904296875, 0.9309637546539307, 0.9646444320678711, 0.9367625117301941, 0.9499982595443726, 0.8934765458106995, -0.9697281122207642, 0.9647507667541504, 0.9502577185630798, 0.9691887497901917, 0.9690311551094055, -0.9716354608535767, 0.9365578293800354, -0.9647682905197144]",0.3732840478420257
2020-07-03,9202.3447265625,9058.794921875,9087.3037109375,13078970999,43.06727414537641,9425.402180989584,9299.61803873816,-82.87161758008006,-52.48567760185157,9652.26737795427,8964.550297826981,"[-0.8067052364349365, 0.9527599215507507, 0.9685825705528259, -0.970177173614502, 0.9307971000671387, 0.9080708622932434, -0.9203000664710999, -0.8401728272438049, -0.9336742758750916]",-0.0789799027972751
2020-07-04,9183.2958984375,9053.6298828125,9132.48828125,12290528515,44.69495656203552,9403.13056640625,9288.835473738924,-83.41799047230597,-58.67214017594245,9645.769494928223,8945.618200384275,"[0.9681822657585144, -0.9740533828735352, -0.9761388301849365, 0.9403124451637268, 0.9359261989593506]",0.178845739364624
2020-07-05,9162.18359375,8977.015625,9073.9423828125,12903406143,42.98033419770479,9383.410872395832,9274.971403356574,-87.56575611254084,-64.45086336326213,9632.049760466763,8921.661958283237,"[0.8726109266281128, 0.7673695683479309, 0.8943065404891968, -0.9760575890541077, -0.9398373961448669, -0.9745050668716431]",-0.0593521694342295
2020-07-06,9375.474609375,9058.6640625,9375.474609375,17889263252,52.98434967945629,9374.137369791666,9281.455481164214,-65.76367686144476,-64.71342606289866,9606.665954741306,8930.790783539944,"[-0.9734049439430237, 0.945728063583374, 0.9546236395835876, 0.946672797203064, 0.9664878249168396, 0.9584221243858337, 0.6109450459480286, -0.9569265842437744]",0.4315684959292412
2020-07-07,9360.6171875,9201.8154296875,9252.27734375,13839652595,49.18723174343539,9357.251529947916,9279.573020685875,-57.76053422897167,-63.322847696113264,9581.03847913167,8933.62050524333,"[0.9478834271430969, -0.9445996880531311, -0.8527300953865051, -0.8974223732948303, 0.7127072215080261, 0.9699367880821228, 0.9606231451034546, 0.9668342471122742, -0.977294921875, 0.9651234745979309]",0.1851061224937439
2020-07-08,9450.3359375,9249.5,9428.3330078125,19702359883,54.23472943150808,9345.81298828125,9289.170439210176,-36.78769960049431,-58.01581807698948,9583.513101243469,8932.795101881535,"[0.9637100100517273, 0.9657794833183289, -0.9371530413627625, 0.9466322064399719, -0.9527745246887207, 0.968499481678009, -0.9699844717979431, 0.9310877323150635, 0.8629211187362671, -0.9553600549697876, 0.6173403859138489, -0.9523993730545044, 0.9566047787666321]",0.1880695177958561
2020-07-09,9431.37890625,9234.9990234375,9277.9677734375,18000702524,49.6943475383249,9328.555240885416,9288.44768657968,-31.931705985869485,-52.79899565876548,9582.855510351132,8932.447614648865,"[0.9591079950332642, 0.7656549215316772, 0.7962571382522583, 0.9708470702171326, -0.9764007329940796, 0.9265868067741394, 0.9537611603736877, 0.925881564617157, -0.6784183979034424, 0.9481077194213867, 0.9604471921920776, -0.9699992537498474, 0.937747597694397]",0.5015062139584467
2020-07-10,9287.4716796875,9118.001953125,9278.8076171875,16860035605,49.71966666932239,9308.845670572917,9287.825746618892,-27.696262416167883,-47.77844901024596,9578.552973824146,8931.396830863356,"[-0.885295033454895, -0.9594081044197083, 0.9683406352996826, -0.9629719853401184, 0.9679387211799622, -0.9724588394165039, -0.9719050526618958, -0.9408925175666809, 0.9608141779899597]",-0.3106486664877997
2020-07-11,9293.5322265625,9199.4853515625,9240.3466796875,13249910444,48.51541348971647,9306.131184895834,9284.762581010416,-27.13037699926645,-43.64883460805005,9574.66063960085,8928.960844774148,"[0.9665499925613403, 0.9137617349624634, 0.9661507606506348, 0.9545498490333557, 0.9650514125823975, 0.8887922763824463, 0.9666085839271545, 0.9681954383850098, 0.9419330358505249, 0.9384953379631042]",0.9470088422298432
2020-07-12,9319.4189453125,9197.4501953125,9276.5,14452361907,49.74755280515865,9299.3197265625,9284.22951126781,-23.49381584144612,-39.61783085472926,9500.522634344805,8965.877072686446,"[0.8983418941497803, 0.8099899291992188, -0.9720925092697144, 0.7994971871376038, 0.9711840152740479, -0.978583574295044, 0.9497474431991577, -0.9786844849586487, -0.9712526202201843, 0.9611930847167969]",0.1489340364933014
2020-07-13,9306.4052734375,9224.29296875,9243.6142578125,17519821266,48.60799993318029,9291.597623697917,9281.60917233521,-23.000286495245746,-36.29432198283256,9410.25706458481,9017.538247915189,"[0.970137894153595, 0.9595550894737244, -0.8532074093818665, 0.9482994079589844, 0.9668662548065186, 0.9284470081329346, -0.9795405268669128, 0.7048690915107727, 0.9627938270568848, 0.7328026294708252]",0.534102326631546
2020-07-14,9283.841796875,9171.6611328125,9243.2138671875,18085038362,48.59340503646192,9286.81181640625,9279.132055874066,-22.38344666992816,-33.51214692025168,9401.926322797512,9018.82934126499,"[0.9632296562194824, 0.9616891741752625, 0.9665883183479309, 0.8428740501403809, 0.9482339024543762, 0.9635059237480164, -0.7845337986946106, -0.9710639715194702, -0.963716983795166, 0.8913708329200745, 0.9150782227516174, -0.9661919474601746, 0.9400818347930908]",0.3620880933908316
2020-07-15,9275.3251953125,9171.93359375,9192.8369140625,15844731575,46.69370811439259,9278.21630859375,9273.564627370097,-25.66375991453788,-31.94246951910892,9396.799810506309,9016.75819730619,"[0.9602635502815247, 0.972233235836029, -0.944743275642395, 0.9394542574882507, 0.8101102113723755, 0.9357338547706604, 0.9358762502670288, 0.9682631492614746, -0.9585553407669067, 0.9174456000328064, -0.9770408272743225]",0.4144582423296841
2020-07-16,9214.3125,9088.947265625,9132.2275390625,15713967523,44.44258675979366,9264.68974609375,9264.4461055438,-32.77627730088898,-32.10923107546493,9397.143711230216,9013.345253613534,"[0.9336532354354858, 0.9560546278953552, 0.9417096376419067, 0.956904411315918, -0.9670073390007019, 0.9659178256988525, 0.8789517879486084, -0.9776905179023743, -0.6393095850944519, 0.8237949013710022, -0.9767946600914001, -0.9784680604934692, -0.9786174297332764, -0.9690976142883301, -0.9714046716690063, -0.97254478931427, 0.9205471873283386]",-0.0619647678206948
2020-07-17,9182.25390625,9089.2021484375,9151.392578125,13944570749,45.33994365693926,9253.727669270833,9257.152329581297,-36.44640857807826,-32.9766665759876,9389.938850469593,9031.150309686658,"[0.9652714729309082, -0.9728135466575623, 0.8537341952323914, -0.7867177128791809, -0.9513114094734192, 0.9455901384353638, 0.9448419213294983, 0.7994748950004578, -0.967435359954834, 0.9579929709434509, 0.9241495728492737, -0.63922119140625, -0.9791920185089111, 0.8644042015075684, -0.711077094078064]",0.0831794023513794
2020-07-18,9230.9833984375,9100.82421875,9159.0400390625,12252601475,45.716718177979175,9245.3009765625,9250.822504386531,-38.29647000447403,-34.04062726168489,9389.68132688738,9032.953634050118,"[0.6901580095291138, -0.8764929175376892, -0.8635620474815369, 0.9586895108222961, -0.9547170400619507, 0.8028636574745178, -0.9466187953948975, 0.9597634673118591, 0.9657897353172302, -0.9452102780342102, 0.9171028733253479, 0.9386649131774902]",0.1372025907039642
2020-07-19,9201.3984375,9097.6328125,9185.8173828125,12939002784,47.09192593723442,9241.894270833332,9246.628625575306,-37.17343691968927,-34.667189193285765,9389.558516182611,9032.572733817387,"[0.8803908824920654, 0.9645137786865234, -0.9744508862495422, -0.8184106945991516, -0.8946051597595215, 0.9541088342666626, 0.8791418671607971, 0.9071047306060791, -0.9575831294059753, -0.9781829118728638, -0.9794308543205261, 0.9610868096351624, 0.9491134285926819, 0.9665160179138184]",0.132808050939015
2020-07-20,9214.2705078125,9137.509765625,9164.2314453125,13755604146,46.07850767048792,9236.290625,9241.312678461576,-37.59189391115797,-35.2521301368602,9389.079544983664,9035.675533141335,"[-0.9786302447319031, 0.9635410904884338, 0.9584677219390869, 0.9656247496604919, 0.530434787273407, -0.9761775732040405, -0.7630600929260254]",0.1000286340713501
2020-07-21,9407.2626953125,9149.3896484375,9374.8876953125,18069581956,56.02437035901085,9238.665885416667,9249.930421484216,-20.686859999503213,-32.339076109388806,9410.073302755158,9029.33802536984,"[-0.8436941504478455, 0.9701158404350281, 0.9708959460258484, 0.9188939929008484, -0.5002384781837463, -0.971679151058197, 0.9530612826347351, 0.960460364818573, -0.9662253260612488, -0.8920888900756836, 0.9381064772605896]",0.1397825371135365
2020-07-22,9530.5185546875,9319.6533203125,9525.36328125,16532254884,61.48879059508251,9234.554069010415,9267.700283404589,4.797322826572781,-24.911796322196487,9466.640102026622,9012.966538598375,"[0.9408335089683533, 0.819970965385437, 0.7157977819442749, -0.954696536064148, -0.9764238595962524, 0.9157646298408508, 0.9670584201812744, 0.9708221554756165, -0.9698711037635803, 0.6341435313224792, 0.7693087458610535, 0.965977668762207, -0.9763637781143188]",0.2940247792464036
2020-07-23,9610.2470703125,9483.00390625,9581.072265625,18146399002,63.3066618761915,9232.934537760417,9287.917830644616,29.152914132455408,-14.098854231266108,9524.604270078034,9004.379226015717,"[-0.9759421348571777, 0.9657709002494812, -0.9731115698814392, 0.70716392993927, 0.9164032936096191, -0.9739916324615479, 0.9390249848365784, 0.9709582924842834, 0.9186286330223083, 0.883546769618988]",0.3378451466560364
2020-07-24,9623.3369140625,9481.4541015625,9536.892578125,16552768325,60.85340547606479,9240.377278645834,9303.980717578834,44.3783976156119,-2.4034038618905047,9562.881974143247,9006.541951638003,"[0.9613021612167358, -0.9113132953643799, -0.960695743560791, 0.9614465832710266, 0.9622753262519836, 0.5170502066612244, 0.9380452036857605]",0.35258720602308
2020-07-25,9704.556640625,9530.2119140625,9677.11328125,16610070933,65.43209104388522,9254.12060546875,9328.05378620278,66.98715560679557,11.474708031846712,9624.14611238849,9005.594903236512,"[0.7694483995437622, 0.9642581343650818, 0.9568079710006714, -0.9341594576835632, -0.9468802213668823, 0.9505402445793152, 0.9625498056411743, 0.9641057252883911, -0.9692345857620239, -0.7186442613601685, -0.9466832876205444, 0.9402387738227844]",0.1660289367039998
2020-07-26,10023.8076171875,9652.84765625,9905.1669921875,20507998997,71.30959800946111,9278.862239583334,9365.28689626631,102.12950241989712,29.605666909456797,9743.600171483937,8939.110082422316,"[0.953973114490509, -0.5597315430641174, 0.7328790426254272, 0.966402530670166, -0.9783223271369934]",0.2230401635169983
2020-07-27,11298.2216796875,9903.9697265625,10990.873046875,35359749590,84.67168441602185,9343.711653645832,9470.163422112031,215.1078411525832,66.70610175808207,10249.36275799064,8607.207066228111,"[-0.6830574870109558, 0.9660719037055969, 0.6239052414894104, 0.9548036456108093, 0.9658814668655396, 0.9574257135391235, 0.9672205448150635, 0.8918007612228394, 0.790061891078949, -0.9714004397392273, 0.882575273513794]",0.576844410462813
2020-07-28,11204.3271484375,10632.6318359375,10912.8232421875,28766551142,81.72497911119045,9402.686360677084,9563.238249213677,294.94606695209404,112.35409479688448,10547.929208732268,8457.089638923982,"[-0.9599243402481079, -0.9513136744499207, 0.9594177603721619, 0.9553685784339905, 0.8309000134468079, 0.9618757367134094, 0.8497225642204285, 0.9638450741767883, 0.9323769807815552, 0.9655820727348328, 0.952033281326294, -0.7742077708244324, -0.9768347144126892, 0.9392045736312866]",0.4034318668501718
2020-07-29,11304.3974609375,10856.1416015625,11100.4677734375,24617249715,83.23553557474543,9466.34013671875,9662.414347550695,369.104969237158,163.70426968493916,10842.753253657467,8344.515593998784,"[0.939725399017334, 0.9633962512016296, 0.8885489702224731, 0.9211640357971191, -0.5417180061340332, -0.6722397804260254, 0.9310647249221802, 0.9582021832466125, 0.9667844772338867, 0.9237326979637146, -0.9751299619674683, 0.9246038198471069, 0.9631219506263733, 0.9306730031967163, 0.9040948748588562, 0.9607369303703308]",0.6241725981235504
